site,station_id,direction,median,mean,std,count
caltech,2-39-125-21,up,0.0,0.26348143328913104,0.492722399490481,89
caltech,2-39-126-20,down,0.041526122479574275,0.3780035074589147,0.6410421784628668,23
caltech,2-39-126-20,up,0.21818759936406998,0.5315241005286426,0.6755018666655737,31
caltech,2-39-126-560,down,0.11206121934904553,0.5478744317860591,0.7287526528607019,8
caltech,2-39-126-560,up,0.2642625231910945,0.4748039268167838,0.5682310963245157,19
caltech,2-39-127-19,down,0.18153269724309096,0.7170421731147754,0.8125244047142263,102
caltech,2-39-127-19,up,0.004493372275893161,0.31773189229645327,0.47619399919873323,105
caltech,2-39-127-561,down,0.0012082158679013009,0.01350616895399927,0.022355189153550822,3
caltech,2-39-127-561,up,0.0,0.0,,1
caltech,2-39-128-18,down,0.3248636340174095,0.6190259859317069,0.6911886030263472,52
caltech,2-39-128-18,up,0.44699073168824055,0.5763095430482692,0.6220957562178286,47
caltech,2-39-128-562,down,0.5364460655402981,0.7673652418506876,0.7889970930839216,16
caltech,2-39-128-562,up,0.7904844575723756,0.8268228663198354,0.6081872321492,10
caltech,2-39-129-17,down,0.015708738610587688,0.463581037517526,0.6974894149884432,97
caltech,2-39-129-17,up,0.0897114057948799,0.45612145795442305,0.6192160443051553,111
caltech,2-39-129-563,down,0.6733680014031561,0.6733680014031561,,1
caltech,2-39-129-563,up,0.0,0.0,,1
caltech,2-39-130-31,down,0.08505076353535188,0.5608528436573985,0.729992234835452,28
caltech,2-39-130-31,up,0.0,0.26480502998463396,0.5149528056530911,81
caltech,2-39-130-564,down,1.0021607232372813,1.0008955425460577,0.999737648213072,3
caltech,2-39-130-564,up,0.0,0.282207517428129,0.5177896817338045,18
caltech,2-39-131-30,down,0.16260430877531698,0.5496798443838482,0.7080458727796645,95
caltech,2-39-131-30,up,0.0,0.21126849192612784,0.403776576350913,198
caltech,2-39-131-565,down,0.049737337694519164,0.3934915511612645,0.6672689095921245,15
caltech,2-39-131-565,up,0.0,0.3762781839708249,0.6256632016497337,12
caltech,2-39-138-29,down,0.08523141996219426,0.4506664733204949,0.6143451890539301,73
caltech,2-39-138-29,up,0.0,0.20656579379245937,0.4064433245142987,98
caltech,2-39-138-566,down,0.47373459599837864,0.8048844288721455,0.8871738529857683,16
caltech,2-39-138-566,up,0.0,0.09094934789241874,0.31725742334628154,13
caltech,2-39-139-28,down,0.03013767537374961,0.3909153344486547,0.6430798395067623,190
caltech,2-39-139-28,up,0.0,0.31408708389586404,0.5089443019516671,223
caltech,2-39-139-567,down,0.1569516860449384,0.5414154823914823,0.7176671091762178,13
caltech,2-39-139-567,up,0.5434468880957739,0.47182084640581384,0.3541343913716478,8
caltech,2-39-79-376,down,0.5102549548508437,0.8203951222341535,0.8220220411975881,188
caltech,2-39-79-376,up,0.155171018012548,0.4776349207004525,0.5961865780580202,585
caltech,2-39-79-377,down,1.0779795496451927,0.9786574434373342,0.7988289819270349,203
caltech,2-39-79-377,up,0.31403392338423575,0.49576442993390735,0.5774831573587496,478
caltech,2-39-79-378,down,0.7724391825844518,0.8533874150979925,0.7608056171277228,148
caltech,2-39-79-378,up,0.01811009503317191,0.3976198371376024,0.5443122252361159,615
caltech,2-39-79-379,down,0.7695285615966967,0.8765923684564699,0.8001770160840186,179
caltech,2-39-79-379,up,0.01788727542156918,0.3836310076620289,0.534158009083378,576
caltech,2-39-79-380,down,0.45385044261372853,0.794943574695989,0.8352082506976424,198
caltech,2-39-79-380,up,0.17263454370560505,0.45054805166532547,0.5478614551588866,406
caltech,2-39-79-381,down,0.7846758707894679,0.8766789907653835,0.7927690291603728,162
caltech,2-39-79-381,up,0.002022875980220795,0.3207670545743964,0.5287201787880006,903
caltech,2-39-79-382,down,1.2162565249813573,1.098893964577182,0.7787956831126588,123
caltech,2-39-79-382,up,0.5192142955043858,0.5713361233248111,0.5694822709070043,343
caltech,2-39-79-383,down,0.9986995058797568,0.9327696866751687,0.7967343940102608,162
caltech,2-39-79-383,up,0.038349691021446766,0.4092416958399998,0.5263557387564317,605
caltech,2-39-82-384,up,0.001180583934977242,0.001180583934977242,,1
caltech,2-39-83-386,down,0.09678906859254635,0.5345639763511034,0.7609109536854007,39
caltech,2-39-83-386,up,0.0,0.1975895043143081,0.38338881601258384,49
caltech,2-39-83-387,down,0.15955203041915483,0.7198506768063849,1.1115084029630733,3
caltech,2-39-83-387,up,0.002522228270731293,0.23122750571273698,0.3579276663192229,6
caltech,2-39-88-24,down,0.6329169669308993,0.8153508716586211,0.8328996222573146,45
caltech,2-39-88-24,up,0.010495169392832172,0.4799799152647501,0.6370332830462988,120
caltech,2-39-88-438,down,0.18289149629201365,0.5428397249067928,0.678383330021124,44
caltech,2-39-88-438,up,0.007812272728643131,0.3430637373757541,0.5067360506944386,80
caltech,2-39-89-25,down,0.12325631301808632,0.5734822974886542,0.7685963702891513,106
caltech,2-39-89-25,up,0.00035666972383568876,0.3375593963470675,0.4477929808120017,144
caltech,2-39-89-439,down,0.10202810272028694,0.6003859884046503,0.7640205217416287,55
caltech,2-39-89-439,up,0.003284562555986831,0.4057266586083363,0.5879253946517111,55
caltech,2-39-90-26,down,0.10953782831853148,0.5841048341012077,0.7455977599211994,76
caltech,2-39-90-26,up,0.0,0.3332803715096004,0.5018087603756259,111
caltech,2-39-90-440,down,0.11889068523815462,0.5460322900278014,0.7220971536876248,73
caltech,2-39-90-440,up,0.35144645687782533,0.4687306280247453,0.5350366907293376,83
caltech,2-39-91-437,down,0.048395837849556415,0.3882856622190913,0.626202935702163,63
caltech,2-39-91-437,up,0.0,0.23660987564322303,0.47327153832289093,103
caltech,2-39-91-441,down,0.0727063533288008,0.5312069704701817,0.7014567183298187,114
caltech,2-39-91-441,up,0.0023217811424097565,0.43022310497666416,0.6361010438694001,62
caltech,2-39-92-436,down,0.3378971524612952,0.75417255243142,0.8407555196549111,91
caltech,2-39-92-436,up,0.027771141520479117,0.386793536879096,0.5089617553982224,110
caltech,2-39-92-442,down,0.08683938826869701,0.5490465888479387,0.741886579903924,177
caltech,2-39-92-442,up,0.49730162745594064,0.6075785431803654,0.6375169410913275,115
caltech,2-39-95-27,down,0.1009292720702111,0.5913558281944218,0.7645764675059944,111
caltech,2-39-95-27,up,0.0008935855752580448,0.4042672541159816,0.6184595132053353,145
caltech,2-39-95-444,down,0.07953403624645444,0.46447650016654884,0.6705893734479949,150
caltech,2-39-95-444,up,0.11752118938446574,0.46539418241683134,0.5782153900805074,77
caltech,2-6-3-1623,down,1.3219637993802362,1.1986110762381863,0.7604369050056242,133
caltech,2-6-3-1623,up,0.018044076063922648,0.3345285095297816,0.5067530748644099,366
caltech,2-6-3-1624,down,1.1758755500091442,1.202466463448086,0.6949649368966734,85
caltech,2-6-3-1624,up,0.0027107881571025536,0.26176742230827627,0.48782631136471183,355
caltech,2-6-3-1625,down,1.5581715220169627,1.4079846629618273,0.6774147084844316,106
caltech,2-6-3-1625,up,0.013066100736638062,0.32939492446839835,0.529885167551799,323
caltech,2-6-3-1626,down,1.4805043971094047,1.361367131237737,0.6817480891775752,92
caltech,2-6-3-1626,up,0.008814139932226676,0.39707909938368363,0.5716069375919104,374
caltech,2-6-3-1627,down,1.7645301858478588,1.3749992757668448,0.7371756196134844,89
caltech,2-6-3-1627,up,0.01504660989713412,0.4058469520662679,0.5746213277765864,340
caltech,2-6-3-1628,down,1.5898767075535767,1.3376902260116346,0.7443641383608319,146
caltech,2-6-3-1628,up,0.012587046789231003,0.3805818562847137,0.5780819006541846,304
caltech,2-6-3-1629,down,1.9310222253282978,1.4981595653669595,0.6725718626196927,114
caltech,2-6-3-1629,up,0.019999739973390093,0.4035517874254455,0.5596980292510494,364
caltech,2-6-3-1630,down,1.636499254102437,1.4452089951296347,0.6286288827128474,75
caltech,2-6-3-1630,up,0.06541515347760596,0.4778304280229126,0.5945106506462758,186
caltech,2-6-3-1631,down,1.4270375094196406,1.245585131185522,0.7579499322215976,112
caltech,2-6-3-1631,up,0.0011349795150039348,0.44438107467245225,0.6145896743910104,453
caltech,2-6-3-1632,down,1.5804991848844696,1.3550207228062037,0.7267200716903758,110
caltech,2-6-3-1632,up,0.017960351035486315,0.37610872490656905,0.5369304868587255,301
